layerId nodeId binId sigmaInterval_lb sigmaInterval_ub sigmaFreq
1 13 0 -0.0062180142 0.1471507561 2246
1 13 1 0.1471507561 0.3005195264 7079
1 13 2 0.3005195264 0.4538882967 5304
1 13 3 0.4538882967 0.6072570670 3363
1 13 4 0.6072570670 0.7606258373 797
1 13 5 0.7606258373 0.9139946076 26
1 14 0 -0.1421383719 -0.1101801470 185
1 14 1 -0.1101801470 -0.0782219221 2499
1 14 2 -0.0782219221 -0.0462636972 5661
1 14 3 -0.0462636972 -0.0143054723 6483
1 14 4 -0.0143054723 0.0176527526 3474
1 14 5 0.0176527526 0.0496109775 425
1 14 6 0.0496109775 0.0815692024 71
1 14 7 0.0815692024 0.1135274273 17
1 15 0 -0.0358494425 0.2478482608 5478
1 15 1 0.2478482608 0.5315459641 5816
1 15 2 0.5315459641 0.8152436674 5315
1 15 3 0.8152436674 1.0989413707 2050
1 15 4 1.0989413707 1.3826390740 156
1 16 0 -0.2461502600 -0.1946830958 198
1 16 1 -0.1946830958 -0.1432159316 3028
1 16 2 -0.1432159316 -0.0917487674 6119
1 16 3 -0.0917487674 -0.0402816032 5434
1 16 4 -0.0402816032 0.0111855610 3863
1 16 5 0.0111855610 0.0626527252 160
1 16 6 0.0626527252 0.1141198894 13
1 17 0 0.0690718685 0.2603714227 3709
1 17 1 0.2603714227 0.4516709769 4435
1 17 2 0.4516709769 0.6429705311 6706
1 17 3 0.6429705311 0.8342700853 3707
1 17 4 0.8342700853 1.0255696395 257
1 17 5 1.0255696395 1.2168691937 1
1 18 0 0.0052423397 0.2531408217 3951
1 18 1 0.2531408217 0.5010393037 5202
1 18 2 0.5010393037 0.7489377857 5974
1 18 3 0.7489377857 0.9968362677 3514
1 18 4 0.9968362677 1.2447347497 173
1 18 5 1.2447347497 1.4926332317 1
1 19 0 -0.0197461560 0.1695516267 3973
1 19 1 0.1695516267 0.3588494094 6232
1 19 2 0.3588494094 0.5481471921 5397
1 19 3 0.5481471921 0.7374449748 2938
1 19 4 0.7374449748 0.9267427575 274
1 19 5 0.9267427575 1.1160405402 1
1 20 0 -0.2456369941 -0.1966255689 72
1 20 1 -0.1966255689 -0.1476141437 2624
1 20 2 -0.1476141437 -0.0986027185 6266
1 20 3 -0.0986027185 -0.0495912933 4838
1 20 4 -0.0495912933 -0.0005798681 4937
1 20 5 -0.0005798681 0.0484315571 74
1 20 6 0.0484315571 0.0974429823 4
1 21 0 -0.1378497732 -0.1070053382 240
1 21 1 -0.1070053382 -0.0761609032 3394
1 21 2 -0.0761609032 -0.0453164682 6244
1 21 3 -0.0453164682 -0.0144720332 6305
1 21 4 -0.0144720332 0.0163724018 2268
1 21 5 0.0163724018 0.0472168368 260
1 21 6 0.0472168368 0.0780612718 81
1 21 7 0.0780612718 0.1089057068 18
1 21 8 0.1089057068 0.1397501418 5
1 22 0 -0.0072996394 0.2616489002 4177
1 22 1 0.2616489002 0.5305974398 5513
1 22 2 0.5305974398 0.7995459794 5949
1 22 3 0.7995459794 1.0684945190 2937
1 22 4 1.0684945190 1.3374430586 238
1 22 5 1.3374430586 1.6063915982 1
1 23 0 -0.0136397228 0.0955136726 4693
1 23 1 0.0955136726 0.2046670680 5775
1 23 2 0.2046670680 0.3138204634 5556
1 23 3 0.3138204634 0.4229738588 2544
1 23 4 0.4229738588 0.5321272542 234
1 23 5 0.5321272542 0.6412806496 13
1 24 0 -0.2095259461 -0.1642747636 318
1 24 1 -0.1642747636 -0.1190235811 4319
1 24 2 -0.1190235811 -0.0737723986 5550
1 24 3 -0.0737723986 -0.0285212161 5745
1 24 4 -0.0285212161 0.0167299664 2812
1 24 5 0.0167299664 0.0619811489 51
1 24 6 0.0619811489 0.1072323314 19
1 24 7 0.1072323314 0.1524835139 1
1 25 0 -0.0388666198 0.2576817324 6511
1 25 1 0.2576817324 0.5542300846 5264
1 25 2 0.5542300846 0.8507784368 5659
1 25 3 0.8507784368 1.1473267890 1372
1 25 4 1.1473267890 1.4438751412 9
1 26 0 -0.1484616936 -0.1156154253 420
1 26 1 -0.1156154253 -0.0827691570 4376
1 26 2 -0.0827691570 -0.0499228887 5908
1 26 3 -0.0499228887 -0.0170766204 5293
1 26 4 -0.0170766204 0.0157696479 2781
1 26 5 0.0157696479 0.0486159162 33
1 26 6 0.0486159162 0.0814621845 4
1 27 0 -0.0297715836 0.1658982965 4818
1 27 1 0.1658982965 0.3615681766 5889
1 27 2 0.3615681766 0.5572380567 5166
1 27 3 0.5572380567 0.7529079368 2789
1 27 4 0.7529079368 0.9485778169 153
1 28 0 -0.0480461577 0.2146332144 6362
1 28 1 0.2146332144 0.4773125865 5553
1 28 2 0.4773125865 0.7399919586 5033
1 28 3 0.7399919586 1.0026713307 1791
1 28 4 1.0026713307 1.2653507028 75
1 28 5 1.2653507028 1.5280300749 1
1 29 0 -0.1473276049 -0.1203874844 94
1 29 1 -0.1203874844 -0.0934473639 1463
1 29 2 -0.0934473639 -0.0665072434 4369
1 29 3 -0.0665072434 -0.0395671229 6557
1 29 4 -0.0395671229 -0.0126270024 5385
1 29 5 -0.0126270024 0.0143131181 914
1 29 6 0.0143131181 0.0412532386 24
1 29 7 0.0412532386 0.0681933591 6
1 29 8 0.0681933591 0.0951334796 3
1 30 0 -0.2454749859 -0.1963076124 130
1 30 1 -0.1963076124 -0.1471402389 2837
1 30 2 -0.1471402389 -0.0979728654 5633
1 30 3 -0.0979728654 -0.0488054919 5535
1 30 4 -0.0488054919 0.0003618816 4669
1 30 5 0.0003618816 0.0495292551 11
1 31 0 -0.0199149339 0.1619934560 4381
1 31 1 0.1619934560 0.3439018459 5908
1 31 2 0.3439018459 0.5258102358 5565
1 31 3 0.5258102358 0.7077186257 2663
1 31 4 0.7077186257 0.8896270156 298
1 32 0 -0.0104258772 0.1657403335 3498
1 32 1 0.1657403335 0.3419065442 5885
1 32 2 0.3419065442 0.5180727549 5534
1 32 3 0.5180727549 0.6942389656 3593
