layerId nodeId binId sigmaInterval_lb sigmaInterval_ub sigmaFreq
1 6 3 -0.0365141962 -0.0186272131 1478
1 6 4 -0.0186272131 -0.0007402300 1451
1 6 5 -0.0007402300 0.0171467531 67
1 6 6 0.0171467531 0.0350337362 16
1 6 7 0.0350337362 0.0529207193 9
1 6 8 0.0529207193 0.0708077024 8
1 6 9 0.0708077024 0.0886946855 1
1 7 0 -0.0074646908 0.0898891929 356
1 7 1 0.0898891929 0.1872430766 1332
1 7 2 0.1872430766 0.2845969603 1408
1 7 3 0.2845969603 0.3819508440 708
1 7 4 0.3819508440 0.4793047277 189
1 7 5 0.4793047277 0.5766586114 35
1 7 6 0.5766586114 0.6740124951 2
1 8 0 -0.0436260113 0.0540092974 2231
1 8 1 0.0540092974 0.1516446061 963
1 8 2 0.1516446061 0.2492799148 563
1 8 3 0.2492799148 0.3469152235 219
1 8 4 0.3469152235 0.4445505322 51
1 8 5 0.4445505322 0.5421858409 3
1 9 0 -0.0035888363 0.0794330905 393
1 9 1 0.0794330905 0.1624550173 1360
1 9 2 0.1624550173 0.2454769441 1411
1 9 3 0.2454769441 0.3284988709 640
1 9 4 0.3284988709 0.4115207977 205
1 9 5 0.4115207977 0.4945427245 20
1 9 6 0.4945427245 0.5775646513 1
1 10 0 -0.0178208861 0.0474811432 242
1 10 1 0.0474811432 0.1127831725 692
1 10 2 0.1127831725 0.1780852018 1404
1 10 3 0.1780852018 0.2433872311 1302
1 10 4 0.2433872311 0.3086892604 361
1 10 5 0.3086892604 0.3739912897 29
1 11 0 -0.0232988394 0.0441793006 1320
1 11 1 0.0441793006 0.1116574406 1511
1 11 2 0.1116574406 0.1791355806 781
1 11 3 0.1791355806 0.2466137206 374
1 11 4 0.2466137206 0.3140918606 42
1 11 5 0.3140918606 0.3815700006 2
1 12 0 -0.0831368110 -0.0552849074 127
1 12 1 -0.0552849074 -0.0274330038 923
1 12 2 -0.0274330038 0.0004188998 2353
1 12 3 0.0004188998 0.0282708034 332
1 12 4 0.0282708034 0.0561227070 141
1 12 5 0.0561227070 0.0839746106 108
1 12 6 0.0839746106 0.1118265142 41
1 12 7 0.1118265142 0.1396784178 4
1 12 8 0.1396784178 0.1675303214 1
1 13 0 -0.0341851123 0.0025091382 1513
1 13 1 0.0025091382 0.0392033887 1307
1 13 2 0.0392033887 0.0758976392 757
1 13 3 0.0758976392 0.1125918897 338
1 13 4 0.1125918897 0.1492861402 95
1 13 5 0.1492861402 0.1859803907 19
1 13 6 0.1859803907 0.2226746412 1
1 14 0 -0.0188333228 0.0288647110 759
1 14 1 0.0288647110 0.0765627448 1492
1 14 2 0.0765627448 0.1242607786 1170
1 14 3 0.1242607786 0.1719588124 476
1 14 4 0.1719588124 0.2196568462 123
1 14 5 0.2196568462 0.2673548800 9
1 14 6 0.2673548800 0.3150529138 1
1 15 0 -0.1029423822 -0.0780913760 27
1 15 1 -0.0780913760 -0.0532403698 288
1 15 2 -0.0532403698 -0.0283893636 1242
1 15 3 -0.0283893636 -0.0035383574 1997
1 15 4 -0.0035383574 0.0213126488 225
1 15 5 0.0213126488 0.0461636550 178
1 15 6 0.0461636550 0.0710146612 49
1 15 7 0.0710146612 0.0958656674 18
1 15 8 0.0958656674 0.1207166736 3
1 15 9 0.1207166736 0.1455676798 1
1 15 10 0.1455676798 0.1704186860 2
1 16 0 -0.0137020862 0.0963798048 743
1 16 1 0.0963798048 0.2064616958 1648
1 16 2 0.2064616958 0.3165435868 1022
1 16 3 0.3165435868 0.4266254778 484
1 16 4 0.4266254778 0.5367073688 115
1 16 5 0.5367073688 0.6467892598 18
1 17 0 -0.0318695205 0.0208628522 1637
1 17 1 0.0208628522 0.0735952249 903
1 17 2 0.0735952249 0.1263275976 1203
1 17 3 0.1263275976 0.1790599703 239
1 17 4 0.1790599703 0.2317923430 46
1 17 5 0.2317923430 0.2845247157 2
1 18 0 -0.0724412239 -0.0267997537 530
1 18 1 -0.0267997537 0.0188417165 2066
1 18 2 0.0188417165 0.0644831867 731
1 18 3 0.0644831867 0.1101246569 544
1 18 4 0.1101246569 0.1557661271 149
1 18 5 0.1557661271 0.2014075973 9
1 18 6 0.2014075973 0.2470490675 1
1 19 0 -0.0664603199 -0.0429160452 117
1 19 1 -0.0429160452 -0.0193717705 972
1 19 2 -0.0193717705 0.0041725042 2309
1 19 3 0.0041725042 0.0277167789 283
1 19 4 0.0277167789 0.0512610536 206
1 19 5 0.0512610536 0.0748053283 84
1 19 6 0.0748053283 0.0983496030 54
1 19 7 0.0983496030 0.1218938777 4
1 19 8 0.1218938777 0.1454381524 1
1 20 0 -0.0302454448 0.0561445790 934
1 20 1 0.0561445790 0.1425346028 1688
1 20 2 0.1425346028 0.2289246266 913
1 20 3 0.2289246266 0.3153146504 406
1 20 4 0.3153146504 0.4017046742 84
1 20 5 0.4017046742 0.4880946980 5
1 21 0 -0.0147066927 0.0444774558 569
1 21 1 0.0444774558 0.1036616043 1412
1 21 2 0.1036616043 0.1628457528 1331
1 21 3 0.1628457528 0.2220299013 589
1 21 4 0.2220299013 0.2812140498 118
1 21 5 0.2812140498 0.3403981983 11
1 22 0 -0.0561778063 -0.0200603598 1157
1 22 1 -0.0200603598 0.0160570867 2133
1 22 2 0.0160570867 0.0521745332 350
1 22 3 0.0521745332 0.0882919797 242
1 22 4 0.0882919797 0.1244094262 109
1 22 5 0.1244094262 0.1605268727 22
1 22 6 0.1605268727 0.1966443192 15
1 22 7 0.1966443192 0.2327617657 2
1 23 0 -0.0287357936 -0.0010464198 1737
1 23 1 -0.0010464198 0.0266429540 1056
1 23 2 0.0266429540 0.0543323278 848
1 23 3 0.0543323278 0.0820217016 262
1 23 4 0.0820217016 0.1097110754 108
1 23 5 0.1097110754 0.1374004492 19
1 24 0 -0.0267262062 0.0719200501 1435
1 24 1 0.0719200501 0.1705663064 1446
1 24 2 0.1705663064 0.2692125627 737
1 24 3 0.2692125627 0.3678588190 355
1 24 4 0.3678588190 0.4665050753 57
1 25 0 -0.1136394564 -0.0920791568 50
1 25 1 -0.0920791568 -0.0705188572 238
1 25 2 -0.0705188572 -0.0489585576 741
1 25 3 -0.0489585576 -0.0273982580 1382
1 25 4 -0.0273982580 -0.0058379584 1447
1 25 5 -0.0058379584 0.0157223412 141
